,Job_Name,Company,Location,Job_type,Employees,Followers,Applicant,Industry,Involvement
415,Data Analyst_Assistant Manager_Pune,_VOIS,"Pune, Maharashtra, India",On-site,10001,139945,200,Information Technology & Services,Full-time · Entry level
416,Statistician,IBM,"Kochi, Kerala, India",On-site,10001,15196672,60,Information Technology & Services,Full-time
417,Data Analyst,Springer Nature Technology and Publishing Solutions,"Pune, Maharashtra, India",On-site,5000,93616,159,Information Technology & Services,Full-time · Mid-Senior level
418,Business Data Analyst,Magnus India Consulting Services,"Mumbai, Maharashtra, India",On-site,50,40781,200,Staffing & Recruiting,Full-time · Mid-Senior level
419,Data Analyst,Fitelo,"Sahibzada Ajit Singh Nagar, Punjab, India",On-site,500,13245,200,"Health, Wellness & Fitness",Full-time · Entry level
420,Data Analyst (2),ITI Data,"Ramban, Jammu & Kashmir, India",Hybrid,500,6754,5,Information Technology & Services,Full-time · Mid-Senior level
421,Senior Analytics Consultant,Wells Fargo,"Hyderabad, Telangana, India",On-site,10001,2160932,2,Financial Services,Full-time · Mid-Senior level
422,Lead I - Data Analysis,UST,"Chennai, Tamil Nadu, India",On-site,10001,821736,134,Information Technology & Services,Full-time · Mid-Senior level
423,"Data Scientist (Engineer II, Software Analyst)",Xerox,"Kochi, Kerala, India",On-site,10001,923251,37,Information Technology & Services,Full-time · Entry level
424,In-Business Credit Risk Quality Assurance Data Analyst for Wealth Management,Citi,"Mumbai, Maharashtra, India",On-site,10001,4045627,44,Financial Services,Full-time
425,Senior Analytics Consultant,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160932,4,Financial Services,Full-time · Mid-Senior level
426,Associate II - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821736,200,Information Technology & Services,Full-time · Mid-Senior level
427,Data Analyst(Power BI)- Nextracker,Alp Consulting Ltd.,"Karnataka, India",Hybrid,5000,103331,36,Staffing & Recruiting,Full-time · Mid-Senior level
428,"Principal, Data Scientist",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497746,59,Financial Services,Full-time
429,Business Intelligence Senior Specialist,NTT DATA Services,"Hyderabad, Telangana, India",On-site,10001,487175,31,Information Technology & Services,Full-time · Mid-Senior level
430,Data Analyst,Vision Unlimited,"Chandigarh, Chandigarh, India",On-site,50,2564,113,Human Resources,Full-time · Entry level
431,Senior Analytics Consultant,Wells Fargo,"Chennai, Tamil Nadu, India",On-site,10001,2160932,7,Financial Services,Full-time · Mid-Senior level
432,Data Analyst Intern,Merkle Science,"Bengaluru, Karnataka, India",Hybrid,50,16044,200,Computer Software,Internship · Mid-Senior level
433,Sr. Data Analyst,Presto,India,Remote,500,13393,200,Computer Software,Full-time · Mid-Senior level
434,"Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Maharashtra, India",On-site,10001,497747,194,Financial Services,Full-time
435,Senior Data Analyst,Alp Consulting Ltd.,"Tamil Nadu, India",Hybrid,5000,103331,8,Staffing & Recruiting,Full-time · Mid-Senior level
436,Jr. Power BI,Tamcherry - Zaportiv,"Navi Mumbai, Maharashtra, India",Hybrid,50,19983,200,Information Technology & Services,Full-time · Mid-Senior level
437,Data Analyst,Excellence and Eminence LLP,"Bengaluru North, Karnataka, India",On-site,50,1263,61,Professional Training & Coaching,Full-time · Mid-Senior level
438,EA_P&U_Data Analyst (P&U OT)_Staff,EY,"Mumbai, Maharashtra, India",On-site,10001,7367474,68,Information Technology & Services,Full-time · Entry level
439,Business & Data Analyst,LG Ad Solutions,"Bengaluru, Karnataka, India",On-site,500,12134,107,Marketing & Advertising,Full-time · Mid-Senior level
440,Data Analyst,AECOM,"Bengaluru East, Karnataka, India",Hybrid,10001,1650468,200,Civil Engineering,Full-time · Entry level
441,Lead Data Analyst - Transactions,S&P Global,"Gurgaon, Haryana, India",On-site,10001,353972,38,Financial Services,Full-time
442,Data Analyst - Training Program  Only for Women,Derisk360,India,Remote,50,15632,200,Information Services,Full-time · Mid-Senior level
443,"Intermediate Representative, Data Management & Quantitative Analysis",BNY Mellon,"Chennai, Tamil Nadu, India",On-site,10001,497747,12,Financial Services,Full-time
444,Senior Data Analyst/Data Modellers,EPAM Systems,"Pune, Maharashtra, India",Remote,10001,861892,184,Information Technology & Services,Full-time · Associate
445,Data Analyst & Campaign Operations,DBS Bank,Mumbai Metropolitan Region,On-site,10001,819892,124,Banking,Full-time
446,Data Researcher I,S&P Global,"Ahmedabad, Gujarat, India",On-site,10001,353972,200,Financial Services,Full-time
447,Data Analyst,Etraveli Group,"Mumbai, Maharashtra, India",On-site,5000,57196,200,Internet,Full-time
448,Data Analyst,Parity Cube Pvt. Ltd.,"Mumbai, Maharashtra, India",On-site,200,11345,200,Internet,Full-time · Entry level
449,Data Analyst - Big Data/Python,Emproto Technologies,"Chennai, Tamil Nadu, India",On-site,200,5550,122,Information Technology & Services,Full-time · Entry level
450,"Sr. Analyst, Analytics and Data Science",TransUnion,"Chennai, Tamil Nadu, India",On-site,10001,322097,47,Information Technology & Services,Full-time · Mid-Senior level
451,Payroll Transformation Data Analyst,Arrow Electronics,"Bengaluru, Karnataka, India",On-site,10001,266684,63,Computer Software,Full-time · Mid-Senior level
452,Business Analyst - Power BI/Tableau,Bluetick Consultants,"Bengaluru, Karnataka, India",On-site,50,3904,2,Information Technology & Services,Full-time · Mid-Senior level
453,Ref Data Mgmt Analyst 1 - C09,Citi,"Pune, Maharashtra, India",On-site,10001,4045632,69,Financial Services,Full-time
454,Lead II - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821736,56,Information Technology & Services,Full-time · Mid-Senior level
455,Web Analyst,Decathlon Sports India,"Bengaluru, Karnataka, India",Hybrid,5000,222670,200,Retail,Full-time · Mid-Senior level
456,Lead Data Analyst,Blinkit,"Gurgaon, Haryana, India",On-site,5000,415224,157,Computer Software,Full-time · Mid-Senior level
457,Lead Data Analyst,Innovaccer,"Noida, Uttar Pradesh, India",On-site,5000,102989,172,Information Technology & Services,Full-time · Mid-Senior level
458,Data Analyst - PowerBI,Cubic Corporation,"Hyderabad, Telangana, India",On-site,10000,57119,200,Information Technology & Services,Full-time · Entry level
459,"Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497747,157,Financial Services,Full-time
463,Senior Analytics Consultant,Wells Fargo,"Hyderabad, Telangana, India",On-site,10001,2160940,2,Financial Services,Full-time · Mid-Senior level
465,"Digital Analytics Analyst, 2-1",Bread Financial,"Karnataka, India",On-site,10000,77366,26,Financial Services,Full-time · Mid-Senior level
466,"Analyst, Consumer - Insights APAC",Guidepoint,"Mumbai, Maharashtra, India",Hybrid,5000,120622,57,Information Services,Full-time · Mid-Senior level
468,Lead Quantitative Analytics Specialist,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160941,1,Financial Services,Full-time · Mid-Senior level
469,EA_P&U_Data Analyst (P&U OT)_Staff,EY,"Kanayannur, Kerala, India",On-site,10001,7367485,70,Information Technology & Services,Full-time · Entry level
471,In-Business Credit Risk Quality Assurance Data Analyst for Wealth Management,Citi,"Mumbai, Maharashtra, India",On-site,10001,4045641,14,Financial Services,Full-time
472,Data Analyst,Alp Consulting Ltd.,"Karnataka, India",Hybrid,5000,103332,40,Staffing & Recruiting,Full-time · Entry level
474,Data Scientist_Aastha,CodersBrain,"Bengaluru North, Karnataka, India",On-site,500,58837,6,Information Technology & Services,Full-time · Associate
475,"Experienced Associate, Forensic Data & Analytics",BDO RISE Private Limited,"Bengaluru, Karnataka, India",Hybrid,5000,51871,200,Accounting,Full-time · Mid-Senior level
478,Data analyst_Dream hiring,CodersBrain,"Bengaluru, Karnataka, India",Remote,500,58837,58,Information Technology & Services,Full-time · Mid-Senior level
480,Project/ Consultant - Data Analyst / Data Engineer / Data Scientist- NA Infra,Arcadis,"Bengaluru, Karnataka, India",Hybrid,10001,849849,200,Civil Engineering,Full-time · Mid-Senior level
481,"Senior Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Chennai, Tamil Nadu, India",On-site,10001,497747,5,Financial Services,Full-time
482,Power BI,Eton Solutions LP,"Bangalore Urban, Karnataka, India",On-site,500,42049,200,Computer Software,Full-time · Mid-Senior level
483,"Intermediate Representative, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497747,21,Financial Services,Full-time
484,Data Analyst (Tableau),SA Technologies Inc.,"Mumbai, Maharashtra, India",Hybrid,1000,50755,126,Information Technology & Services,Full-time · Associate
485,Verbatim analyst,YouGov,"Bengaluru, Karnataka, India",On-site,5000,361261,91,Market Research,Full-time · Executive
486,Associate Analyst - BI,Ivy,"Hyderabad, Telangana, India",On-site,5000,48241,200,Computer Software,Full-time · Mid-Senior level
487,Senior Data Analyst - R/Python,Codeyoung,"Bengaluru, Karnataka, India",On-site,500,16724,54,E-learning,Full-time · Mid-Senior level
488,Data Analyst/Business Analyst (R23006158),Citi,"Pune, Maharashtra, India",On-site,10001,4045643,200,Financial Services,Full-time
489,Analytics Consultant,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160946,28,Financial Services,Full-time · Associate
490,Data Analyst (Fresh Batch),Unite Career Solutions,"Ahmedabad, Gujarat, India",On-site,50,1287,200,Information Services,Full-time · Entry level
491,"Specialist, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497748,6,Financial Services,Full-time
492,Data Analyst,IntegriChain,"Pune, Maharashtra, India",Hybrid,1000,18704,200,Pharmaceuticals,Full-time · Associate
493,Data Analyst,Kia India,"Gurugram, Haryana, India",On-site,5000,326231,200,Automotive,Full-time · Associate
495,Senior Data Analyst,Atkins,"Bengaluru, Karnataka, India",On-site,10001,790016,5,Design,Full-time · Mid-Senior level
497,"Senior Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Chennai, Tamil Nadu, India",On-site,10001,497748,5,Financial Services,Full-time
498,Data Analyst,eTeam,"Andhra Pradesh, India",On-site,1000,283152,12,Staffing & Recruiting,"₹110,000/hr - ₹125,000/hr · Contract · Associate"
499,Quantitative Analyst I,Mr. Cooper,"Chennai, Tamil Nadu, India",On-site,10000,103057,76,Financial Services,Full-time · Mid-Senior level
500,Senior Data scientist / Principal Data science analyst,Citi,"Bengaluru, Karnataka, India",On-site,10001,4045645,54,Financial Services,Full-time
501,Product Engineer I - Matching/ Data Analyst,Experian,"Mumbai, Maharashtra, India",Hybrid,10001,580707,105,Information Services,Full-time · Mid-Senior level
502,Interesting Job Opportunity: Tata Power - Data Scientist - Predictive Modeling/Machine Learning,TATA Power,"Mumbai, Maharashtra, India",Hybrid,10001,1054922,200,Utilities,Full-time · Entry level
503,Data Analyst - SAS/Tableau,DataZymes,"Bengaluru, Karnataka, India",On-site,200,7761,200,Management Consulting,Full-time · Entry level
506,Report analysts -Data Analytics,Mindpool Technologies Inc,"Jaipur, Rajasthan, India",Hybrid,1000,14141,9,Information Technology & Services,Full-time · Mid-Senior level
507,Lead Tableau Consultant,PharmaACE,"Pune, Maharashtra, India",On-site,500,16594,124,Management Consulting,Full-time · Mid-Senior level
508,Senior Data Scientist - INDIA,Quantium,"Hyderabad, Telangana, India",Hybrid,1000,33254,114,Information Technology & Services,Full-time · Mid-Senior level
509,Experienced Systems & Data Analyst,Boeing,"Bengaluru, Karnataka, India",On-site,10001,2988839,26,Aviation & Aerospace,Full-time
510,Data Analyst,Aston Carter,"Pune, Maharashtra, India",On-site,5000,288289,137,Staffing & Recruiting,Contract
511,Analytics Consultant,Quantzig,"Bengaluru, Karnataka, India",On-site,500,24157,199,Research,Full-time · Mid-Senior level
512,Senior Data Analyst/Data Modellers,EPAM Systems,"Pune, Maharashtra, India",Remote,10001,861910,184,Information Technology & Services,Full-time · Associate
513,In-Business Credit Risk Quality Assurance Data Analyst for Wealth Management,Citi,"Mumbai, Maharashtra, India",On-site,10001,4045648,14,Financial Services,Full-time
514,Data Analyst,Acme Services,"Mumbai, Maharashtra, India",Hybrid,200,162618,200,Human Resources,Full-time · Mid-Senior level
515,Senior Data Management Analyst,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160950,3,Financial Services,Full-time · Mid-Senior level
516,Data Analytics Internship in Pune at The Strelema,The Strelema,"Pune, Maharashtra, India",On-site,50,3043,110,Management Consulting,Full-time · Internship
517,Big data,Alp Consulting Ltd.,"Navi Mumbai, Maharashtra, India",On-site,5000,103334,7,Staffing & Recruiting,Full-time · Entry level
518,Senior Product Analytics Associate,athenahealth,"Chennai, Tamil Nadu, India",Hybrid,10000,157006,200,Information Technology & Services,Full-time · Mid-Senior level
519,Senior Data Analyst/Data Modellers,EPAM Systems,"Chennai, Tamil Nadu, India",Remote,10001,861912,89,Information Technology & Services,Full-time · Associate
520,"Associate Consultant, Risk Analytics - Oracle Developer, PL/SQL",Northern Trust Asset Servicing,Mumbai Metropolitan Region,On-site,10001,32162,57,Financial Services,Full-time · Mid-Senior level
521,Senior Quantitative Analytics Specialist,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160953,20,Financial Services,Full-time · Mid-Senior level
522,Tableau Report Lead - P4449,Nisum,"Hyderabad, Telangana, India",Hybrid,5000,97069,200,Information Technology & Services,Full-time · Entry level
523,Data Analyst,Turing,India,Remote,5000,216016,200,Information Technology & Services,Full-time · Entry level
524,Associate Web Analyst,Gainsight,"Hyderabad, Telangana, India",On-site,5000,101984,168,Computer Software,Full-time
525,"Intermediate Representative, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497749,12,Financial Services,Full-time
526,Lead II - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821744,127,Information Technology & Services,Full-time · Mid-Senior level
527,Associate III - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821744,200,Information Technology & Services,Full-time · Mid-Senior level
528,Data Analyst,Right Advisors Private Limited,"Hyderabad, Telangana, India",On-site,200,21081,145,Human Resources,Full-time · Entry level
529,Interesting Job Opportunity: Aspect Ratio - Analyst - Analytics/Data Science,Aspect Ratio,"Pune, Maharashtra, India",On-site,200,7139,20,Management Consulting,Full-time · Entry level
530,Senior Associate Business Intelligence Analyst,NTT Ltd.,"Bengaluru, Karnataka, India",Hybrid,10001,410879,200,Information Technology & Services,Full-time · Mid-Senior level
531,Data Analyst/Business Analyst (R23006158),Citi,"Pune, Maharashtra, India",On-site,10001,4045650,200,Financial Services,Full-time
532,Automation Analyst - ESG Data,S&P Global,"Gurgaon, Haryana, India",On-site,10001,353980,83,Financial Services,Full-time
533,Senior Analytics Consultant,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160955,5,Financial Services,Full-time · Mid-Senior level
535,Automation Analyst - ESG Data,S&P Global,"Ahmedabad, Gujarat, India",On-site,10001,353980,79,Financial Services,Full-time
536,Mis Analyst,MNR Solutions Pvt. Ltd.,"Mumbai, Maharashtra, India",On-site,1000,69464,40,Staffing & Recruiting,Full-time · Mid-Senior level
537,Data Analyst,Acme Services,"Bengaluru, Karnataka, India",On-site,200,162620,200,Human Resources,Full-time · Mid-Senior level
538,Data Analyst,Uplers,"New Delhi, Delhi, India",Remote,5000,819392,200,Information Technology & Services,Full-time · Mid-Senior level
539,Data Science NLP Analyst,Turing,India,Remote,5000,216017,72,Information Technology & Services,Full-time · Entry level
540,Lead II - Data Analysis,UST,"Bengaluru, Karnataka, India",On-site,10001,821747,172,Information Technology & Services,Full-time · Mid-Senior level
541,Web Analyst,Alp Consulting Ltd.,"New Delhi, Delhi, India",On-site,5000,103334,9,Staffing & Recruiting,Full-time · Mid-Senior level
542,Data Analyst- Biglittle.ai,Codejudge Inc.,"Bengaluru North, Karnataka, India",On-site,50,4083,3,Computer Software,Full-time · Mid-Senior level
543,Data Analyst/Senior Data Analyst (2-3 yrs),Axis My India,"Mumbai, Maharashtra, India",On-site,1000,14911,2,Market Research,Full-time · Mid-Senior level
544,"Lead - Data Analyst (Big Data, PySpark)",Citi,"Bengaluru, Karnataka, India",On-site,10001,4045651,89,Financial Services,Full-time
545,Data Analyst (Data Validation),m360 Research,"Bengaluru, Karnataka, India",Hybrid,500,16437,200,Market Research,Full-time · Associate
546,Verbatim analyst,YouGov,"Bengaluru, Karnataka, India",On-site,5000,361262,91,Market Research,Full-time · Executive
547,Business Applications & Analytics 3IC9,Dana Incorporated,"Gautam Buddha Nagar, Uttar Pradesh, India",On-site,10001,173189,4,Automotive,Full-time · Entry level
548,External Party Reference Data - Data Management Analyst,JPMorgan Chase & Co.,"Hyderabad, Telangana, India",On-site,10001,3792051,83,Financial Services,Full-time
549,Data Researcher - III,S&P Global,"Ahmedabad, Gujarat, India",On-site,10001,353981,72,Financial Services,Full-time
550,ServiceNow Performance Analytics and Reporting Analyst,Workday,"Pune, Maharashtra, India",Hybrid,10001,761468,200,Computer Software,Full-time
551,Senior Data Analyst 1- Business Intelligence,AXA XL,"Bengaluru, Karnataka, India",Hybrid,10000,117321,16,Insurance,Full-time
552,"IND (New) Data Scientist, Data Management",Quantium,"Hyderabad, Telangana, India",Hybrid,1000,33254,133,Information Technology & Services,Full-time · Mid-Senior level
554,Quant Analytics Specialist,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160959,2,Financial Services,Full-time · Associate
555,"Sr. Representative, Operations",Concentrix,"Chennai, Tamil Nadu, India",On-site,10001,1201727,200,Information Technology & Services,Contract · Entry level
556,Business Applications Support,Valeo,"Chennai, Tamil Nadu, India",On-site,10001,1164468,101,Automotive,Full-time · Entry level
557,Training and Engagement Supervisor,Bimbo Bakeries USA,"Jalalabad, Punjab, India",On-site,10001,196537,86,Food Production,Full-time · Mid-Senior level
558,Senior Embedded Software Engineer,Halma plc,"Bengaluru, Karnataka, India",On-site,10000,61506,99,Electrical & Electronic Manufacturing,Full-time · Associate
559,"Associate, Investment Accounting",BlackRock,"Gurgaon, Haryana, India",Hybrid,10001,1319902,1,Financial Services,Full-time
560,Sr Software Engineer (Java),HERE Technologies,"Mumbai, Maharashtra, India",Hybrid,10000,198842,21,Information Technology & Services,Full-time · Mid-Senior level
562,Full-Time and Visiting Faculty – Computing Science & Computer Information Systems,Fraser Valley India | University of the Fraser Valley,"Chandigarh, India",On-site,50,2635,38,Higher Education,Full-time
563,CONSULTANT - INTELLIGENT AUTOMATION PRACTICE,ResultsCX,"Bengaluru, Karnataka, India",Hybrid,10001,61033,123,Outsourcing/Offshoring,Full-time · Mid-Senior level
564,Senior Magento Developer,6thStreet.com,Greater Bengaluru Area,On-site,500,81249,82,Retail,Full-time · Mid-Senior level
565,Technical Business Analyst,iSteer,"Bengaluru, Karnataka, India",On-site,500,4441,36,Information Technology & Services,Full-time · Mid-Senior level
566,Bus Process Delivery New Associate-Transaction risk management,Accenture in India,"Hyderabad, Telangana, India",On-site,10001,1628812,40,Information Technology & Services,Full-time · Entry level
567,Assistant Manager Technology (Postilion and ATM),Mashreq,"Bangalore Urban, Karnataka, India",On-site,5000,1016206,54,Banking,Full-time · Mid-Senior level
568,Graduate Program Feel Consultant,Adecco,"Uttar Pradesh, India",Hybrid,10001,6192878,4,Staffing & Recruiting,Full-time
569,Senior member of Technical Staff,VMware,"Bengaluru, Karnataka, India",On-site,10001,1863292,56,Computer Software,Full-time · Mid-Senior level
570,"Principal Technical Consultant, Customer Delivery",Calypso Technology,"Mumbai, Maharashtra, India",Hybrid,1000,118177,45,Computer Software,Full-time · Mid-Senior level
571,CA Article Assisstant,Adithya & Vishwas,"Bengaluru, Karnataka, India",On-site,50,3,3,Financial Services,Full-time · Entry level
572,Technology Sales Specialist,Ashnik,"Mumbai, Maharashtra, India",Hybrid,50,11065,94,Information Technology & Services,Full-time
573,Assistant Manager - SaaS - ITO/OTR-ANA007498,Genpact,"Bengaluru, Karnataka, India",On-site,10001,2638956,3,Information Technology & Services,Full-time · Associate
574,IT Delivery,Infosys,"Bengaluru East, Karnataka, India",On-site,10001,6987098,2,Information Technology & Services,Full-time · Mid-Senior level
575,Dynamics Technical Staff,EY,"Trivandrum, Kerala, India",On-site,10001,7366420,42,Information Technology & Services,Full-time · Entry level
576,Research Intern,Accords International,India,Remote,10,2166,30,Law Practice,Part-time
577,Senior Technical Professional,Finastra,"Bengaluru, Karnataka, India",Hybrid,10001,157011,40,Financial Services,Full-time · Mid-Senior level
578,"Executive – Recruitment Services, GSC's",HSBC,"Hyderabad, Telangana, India",Hybrid,10001,3276612,4,Financial Services,Full-time
579,Assistant Manager - SaaS - ITO/OTR-ANA007498,Genpact,"Bengaluru, Karnataka, India",On-site,10001,2638959,3,Information Technology & Services,Full-time · Associate
580,JAMF Engineer ( Delhi/ Mumbai/ Banaglore),Team Computers,"Mumbai, Maharashtra, India",On-site,5000,45891,38,Information Technology & Services,Full-time · Associate
581,Associate-Order to Cash Processing,Accenture in India,"Mumbai, Maharashtra, India",On-site,10001,1628821,50,Information Technology & Services,Full-time · Entry level
582,Manager-Voice & Data Core Ops,Vodafone Idea Limited,"Pune, Maharashtra, India",Hybrid,10001,241021,52,Telecommunications,Full-time · Associate
583,Business Development Executive,BYJU'S,"Pune, Maharashtra, India",On-site,10001,1799438,13,E-learning,Full-time
584,Business Development Associate,BYJU'S,Greater Delhi Area,On-site,10001,1799438,4,E-learning,Full-time
585,Patent Manager - Coimbatore,Altacit Global,"Coimbatore, Tamil Nadu, India",On-site,50,7701,57,Law Practice,Full-time
586,Analytics Team Lead,Analytic Edge,"Bengaluru, Karnataka, India",On-site,200,5121,12,Marketing & Advertising,Full-time
587,Showroom Sales Manager,Simphony,"Chandigarh, India",On-site,50,738,168,Computer Software,Full-time
588,Customer Service New Associate-Query Management,Accenture in India,"Mumbai, Maharashtra, India",On-site,10001,1628821,88,Information Technology & Services,Full-time · Entry level
589,Assistant Manager-SFDC Developer,Genpact,"Bengaluru, Karnataka, India",Hybrid,10001,2638961,195,Information Technology & Services,Full-time · Associate
590,BNG Network Developer,HCLTech,"Bengaluru, Karnataka, India",Hybrid,10001,4675813,44,Information Technology & Services,Full-time · Mid-Senior level
592,Senior Software Engineer (NSG | Bangalore),Sophos,"Bengaluru, Karnataka, India",Hybrid,5000,338263,200,Computer Software,Full-time · Mid-Senior level
593,Sap Advanced Business Application Programming Consultant,Tata Consultancy Services,"Hyderabad, Telangana, India",On-site,10001,12345394,62,Information Technology & Services,Full-time · Associate
594,Research Associate,Penguin International,"Gurugram, Haryana, India",Hybrid,200,2819,33,Outsourcing/Offshoring,Full-time · Associate
595,Oracle ERP Systems Administrator,Teladoc Health,"Mumbai, Maharashtra, India",Hybrid,5000,172796,84,Hospital & Health Care,Full-time · Mid-Senior level
596,AGM - Technical Support,Vodafone Idea Limited,"Pune, Maharashtra, India",On-site,10001,241021,112,Telecommunications,Full-time · Mid-Senior level
597,BI Systems Sr Analyst,Bimbo Bakeries USA,"Jalalabad, Punjab, India",On-site,10001,196538,38,Food Production,Full-time · Mid-Senior level
598,Visa Processing Officer,Skybeat Immigration,"Amritsar, Punjab, India",On-site,200,159,34,Higher Education,Full-time
599,Specialist - Software Sales,NTT Ltd.,"Mumbai, Maharashtra, India",Hybrid,10001,410772,95,Information Technology & Services,Full-time · Entry level
600,Webmethods Consultant,Infosys,"Bengaluru East, Karnataka, India",On-site,10001,6987114,3,Information Technology & Services,Full-time · Mid-Senior level
601,"Technical Specialist – MS, AWS",NTT Global Data Centers,"Mumbai, Maharashtra, India",Hybrid,1000,40828,56,Information Technology & Services,Full-time · Mid-Senior level
602,Campus Ambassador,TechLang.in,India,Remote,50,10513,1,Higher Education,Part-time
603,Technical Lead (Firmware),Johnson Controls,"Pune, Maharashtra, India",On-site,10001,1247317,54,Mechanical Or Industrial Engineering,Full-time · Mid-Senior level
604,Lead Engineer (Web),Avis Budget Group,"Bangalore Urban district, India",Hybrid,10001,123759,64,"Leisure, Travel & Tourism",Full-time · Mid-Senior level
605,Technology Lead,Broadridge India,"Hyderabad, Telangana, India",On-site,10000,8734,66,Financial Services,Full-time
606,Field Service Technician,Evoqua Water Technologies,"Lephripada, Odisha, India",On-site,5000,84683,52,Environmental Services,Full-time
607,Analyst-Order to Cash Processing,Accenture in India,"Mumbai, Maharashtra, India",On-site,10001,1628825,73,Information Technology & Services,Full-time · Entry level
608,Senior Software Engineer,Beckman Coulter Life Sciences,"Bengaluru, Karnataka, India",Hybrid,5000,75911,11,Biotechnology,Full-time
609,Business Operations Lead - Growth,Crio.Do,"Bengaluru, Karnataka, India",On-site,50,60702,21,E-learning,Full-time
610,Customer Service New Associate-Query Management,Accenture in India,"Gurgaon, Haryana, India",On-site,10001,1628826,133,Information Technology & Services,Full-time · Entry level
611,Buyer Analyst,CSG,India,Remote,10000,124171,116,Computer Software,Full-time · Mid-Senior level
612,Technical Business Analyst,iSteer,"Bengaluru, Karnataka, India",On-site,500,4441,37,Information Technology & Services,Full-time · Mid-Senior level
613,Customer Service New Associate-Query Management,Accenture in India,"Gurgaon, Haryana, India",On-site,10001,1628828,30,Information Technology & Services,Full-time · Entry level
614,Bus Process Delivery New Associate-Content Management,Accenture in India,"Hyderabad, Telangana, India",On-site,10001,1628828,50,Information Technology & Services,Full-time · Entry level
616,Customer Service Associate-Query Management,Accenture in India,"Bengaluru, Karnataka, India",On-site,10001,1628828,65,Information Technology & Services,Full-time · Entry level
617,Implementation Lead,Vihara Innovation Network,"Shillong, Meghalaya, India",Hybrid,50,11667,95,Government Administration,Contract
618,Master Instructor Networking/Cyber/Cloud/Server/Full Stack/DevOps/Digital Marketing,Rooman Technologies,Greater Bengaluru Area,Hybrid,5000,12254,168,Education Management,Part-time
619,Technology Lead,Broadridge India,"Hyderabad, Telangana, India",On-site,10000,8734,58,Financial Services,Full-time
620,Sr Software Engineer,Wabtec Corporation,"Bengaluru, Karnataka, India",On-site,10001,131451,11,Railroad Manufacture,Full-time · Mid-Senior level
621,Manager_ Portfolio Manager_Technology,Morgan Stanley,"Mumbai, Maharashtra, India",On-site,10001,2545044,1,Financial Services,Full-time
622,Sr Programmer Analyst I/II - Remote/Officebased/Flex - 6-9 years of experience of SDTM programming,Thermo Fisher Scientific,India,Remote,10001,1184670,1,Biotechnology,Full-time
623,Business Development Executive,Satyam Screws,"Amritsar, Punjab, India",On-site,50,411,104,Consumer Goods,Full-time
624,Business Development Executive,Ellora Infotech Pvt Ltd,"Nashik, Maharashtra, India",On-site,200,3492,12,Information Technology & Services,Full-time
625,Customer Support Executive,Techneel IT Services Pvt. Ltd.,"Bengaluru, Karnataka, India",On-site,50,830,16,Information Technology & Services,Full-time
626,Software Architect/Lead/Principal – Embedded/Firmware,Ethernovia,"Pune, Maharashtra, India",Hybrid,50,4932,62,Automotive,Full-time · Mid-Senior level
627,Senior Software Engineer - Application Development,Club Car,"Bangalore Urban district, India",On-site,5000,16128,65,Automotive,Full-time · Associate
628,Test Administrator_India,Pearson VUE,"Jalandhar, Punjab, India",On-site,5000,44915,65,Information Technology & Services,Full-time · Entry level
629,Inside Sales Coordinator,Prixgen Tech Solutions Pvt. Ltd.,"Mysore, Karnataka, India",On-site,200,2546,88,Information Technology & Services,Full-time
630,Spanish,LTI - Larsen & Toubro Infotech,"Pune, Maharashtra, India",On-site,10001,1973231,66,Information Technology & Services,Contract · Entry level
631,Embedded Engineer,Teamware Solutions a division of Quantum Leap Consulting Pvt. Ltd,"Gujarat, India",Hybrid,5000,116738,47,Information Technology & Services,Full-time · Mid-Senior level
632,Infrastructure Coverage & Resilience - AVP - Mumbai Risk Centre,Deutsche Bank,"Mumbai, Maharashtra, India",On-site,10001,1898206,12,Financial Services,Full-time · Mid-Senior level
633,Customer Service Associate-Query Management,Accenture in India,"Mumbai, Maharashtra, India",On-site,10001,1628833,58,Information Technology & Services,Full-time · Entry level
